凹
凹凸
百分比
半径
半球
半圆
半圆形
比值
必要性
边界
边界线
变量
变速
变性
标明
表述
波形
波长
不等式
不定积分
不定式
不规则
步长
参变量
参量
参数
查阅
阐述
常量
常数
偿还
车间
陈述
乘数
抽取
稠密
初始
初值
除法
除以
垂线
垂直
存量
代换
代数
代数和
代数学
单摆
单价
弹性
刀具
导出
导向
倒数
地心
等比级数
等号
等距离
等速
等同
等温
等长
等值
等值线
底边
电场
电感
电缆
电量
电流
电位
电学
电压
电子
调和
叠
钉子
顶角
读数
镀
镀层
端点
断定
断面
对岸
对称
对称性
对角
对角线
对照
对质
多边形
多元
二分法
二阶导数
二项式
二元方程
法线
繁琐
反常
反证法
方程组
方括号
仿照
放射
放射性
非线性
分段
分割
分化
分界
浮筒
俯冲
负号
负值
附加
复根
复合
覆盖
杠杆
高阶导数
割线
隔离
根号
根式
公因式
拱门
共性
共振
构件
固有
卦限
挂钟
惯量
光滑
广义
归纳
归纳法
规律性
弧
弧度
互为
滑翔机
回路
混淆
活塞
货运
击打
积分
积分学
级数
几何
几何级数
几何学
加速度
假设
间隔
减法
减速
减小
简捷
降落伞
交错
节点
解析
近似
近似值
经济学
精度
精确
精确度
静止
局部
矩形
矩形
绝对值
开口
可微
空格
孔
镭
累次
累计
冷却
力学
立方体
立体
连续函数
连续性
连域
联结
链条
列表
邻近
临界
零
零点
零点.
零时
领域
流量
流速
流体
流向
六边形
漏斗
论证
螺丝钉
螺旋线
落体
马鞍
面点
磨削
木板
逆
逆时针
年利率
判别式
抛物面
炮弹
配方
膨胀
偏差
平板
平顶柱
平方根
平方和
平分
平均值
平面
平面图
平行线
平移
汽锤
切点
切线
倾角
求和
求全
球面
球体
球形
曲边
曲顶柱
曲率
曲面
趋向
取值
去除
绕行
容积
容器
柔软
入射角
三角
三角函数
三角学
三阶
刹车
砂轮
上册
上列
上限
设法
射线
摄氏
伸缩
伸长
升降
绳索
时针
实测
实例
实质
矢量
是非
收敛
售价
书写
属性
数组
衰变
双曲面
水池
水流
水平线
水桶
水箱
水闸
四边形
算术
探测器
特殊情况
特殊性
梯度
梯形
替换
添加
跳跃
铁板
铁锤
铁钉
铁索
同方向
同心
筒
投影
凸
图形
推测
推演
推移
椭球
外力
外缘
万能
微分
微分学
微积分
唯一性
未定
未知数
位移
屋架
无理数
无穷大
无穷小
物理量
物理学
误差
细分
下标
下垂
下结论
下限
线形
线性
相差
相乘
相除
相仿
相继
相加
相交
相连
项数
销售量
小数
斜边
斜高
斜角
谐波
谐振
星形
行列式
行星
需求量
序列
延拓
验证
液体
一般性
一次方程
一阶常
一元方程
引出
引力场
引入
铀
有理
有理式
有形
余角
余弦
原子
圆钢
圆弧
圆盘
圆心角
圆形
圆周
圆柱
圆柱体
圆锥
圆锥体
源头
匀速
匀细
陨星
运费
造价
增减
增量
闸门
长方体
折线
真分式
振荡
振幅
蒸汽
整除
正电荷
正方体
正负
正号
正确性
正弦
正值
支点
制动
中点
中心角
终端
周期性
轴
轴对称
诸如
逐项
柱
转角
转轴
桩
锥面
锥体
锥形
自然科学
自行
总收入
最低点
最高点
作偶
坐标
坐标系
坐标轴
